device,card,I/O/D/A/S,No.,Function,Panel
,,,,,
,,,,,
6,0,I,0,STBY PWR,Power
,0,I,1,BAT BUS,Power
,0,I,2,BAT,Power
,0,I,3,AUX BAT,Power
,0,I,4,TR1,Power
,0,I,5,TR2,Power
,0,I,6,TR3,Power
,0,I,7,TEST,Power
,0,I,8,BAT ON,Power
,0,I,9,STBY PWR,Power
,0,I,10,GRD PWR,Power
,0,I,11,GEN1,Power
,0,I,12,APU GEN,Power
,0,I,13,GEN2,Power
,0,I,14,INV,Power
,0,I,15,TEST,Power
,0,I,16,GALLEY ON,Power
,0,I,17,MAINT,Power
,0,I,18,L ENG START GRD,
,0,I,19,L ENG START AUTO,
,0,I,20,L ENG START CONT,
,0,I,21,L ENG START FLT,
,0,I,22,R ENG START GRD,
,0,I,23,R ENG START AUTO,
,0,I,24,R ENG START CONT,
,0,I,25,R ENG START FLT,
,0,I,26,,
,0,I,27,R IGNITION SOURCE,
,0,I,28,L IGNITION SOURCE,
,0,I,29,LOGO Light Switch,
,0,I,30,POSITION Light Steady Switch,
,0,I,31,POSITION LightStrobe Switch,
,0,I,32,ANTI COLLISION Light Switch,
,0,I,33,WING Light Switch,
,0,I,34,WHEEL WELL Light Switch,
,0,I,35,,
,,,,,
6,0,I,36,Left Retractable Land Light,
,0,I,37,Left Retractable Land Light,
,0,I,38,Right Retractable Land Light,
,0,I,39,Right Retractable Land Light,
,0,I,40,Left Landing Light,
,0,I,41,Right Landing Light,
,0,I,42,Left Runway Turnoff Light,
,0,I,43,Right Runway Turnoff Light,
,0,I,44,Taxi Light,
,0,I,45,APU Switch,
,0,I,46,APU Switch,
,0,I,47,,
,0,I,48,,
,0,I,49,,
,0,I,50,,
,0,I,51,,
,0,I,52,,
,0,I,53,,
,0,I,54,,
,0,I,55,,
,0,I,56,,
,0,I,57,,
,0,I,58,,
,0,I,59,,
,0,I,60,,
,0,I,61,,
,0,I,62,,
,0,I,63,,
,0,I,64,,
,0,I,65,,
,0,I,66,,
,0,I,67,,
,0,I,68,,
,0,I,69,,
,0,I,70,,
,0,I,71,,
,,,,,
6,0,O,11,BAT DISCHARGE,Power
,0,O,12,TR UNIT,Power
,0,O,13,ELEC,Power
,0,O,14,,
,0,O,15,,
,0,O,16,,
,0,O,17,,
,0,O,18,,
,0,O,19,,
,0,O,20,,
,0,O,21,,
,0,O,22,,
,0,O,23,,
,0,O,24,,
,0,O,25,,
,0,O,26,,
,0,O,27,,
,0,O,28,,
,0,O,29,,
,0,O,30,,
,0,O,31,,
,0,O,32,,
,0,O,33,,
,0,O,34,,
,0,O,35,,
,0,O,36,,
,0,O,37,,
,0,O,38,,
,0,O,39,,
,0,O,40,,
,0,O,41,,
,0,O,42,,
,0,O,43,,
,0,O,44,,
,0,O,45,,
,0,O,46,,
,0,O,47,,
,0,O,48,,
,,,,,
6,0,R,49,Backlighting Relay,
,0,R,50,R ENG START SOLENOID,
,0,R,51,L ENG START SOLENOID,
,0,R,52,,
,0,R,53,,
,0,R,54,,
,0,R,55,,
,,,,,
6,0,D,0,,
,0,D,1,AC VOLTS,
,0,D,2,AC VOLTS,
,0,D,3,AC VOLTS,
,0,D,4,AC AMPS,
